config,dataset,unit,n,ac1,p_rw,p_iaaft
C,NURSE,7A_1587228286,566,0.9952375981713169,0.7152317880794702,0.7814569536423841
C,NURSE,7E_1603309557,147,0.9839206370780051,0.5165562913907285,0.2980132450331126
C,NURSE,83_1603966680,316,0.9946607529159452,0.5629139072847682,0.304635761589404
C,NURSE,8B_1594153037,85,0.9776929490014589,0.3576158940397351,0.039735099337748346
C,NURSE,BG_1603681317,98,0.9744361944854107,1.0,1.0
C,NURSE,DF_1594296700,218,0.989296365560003,0.3576158940397351,0.31788079470198677
C,NURSE,E4_1587236732,62,0.986340187233645,0.6357615894039735,0.271523178807947
C,NURSE,15_1594213322,183,0.9866531002928901,0.5165562913907285,0.5894039735099338
C,NURSE,5C_1587297777,1072,0.9990809702473232,0.006622516556291391,0.543046357615894
C,NURSE,6B_1587653438,163,0.9995337330490439,0.006622516556291391,0.046357615894039736
C,NURSE,6D_1594831043,262,0.9777493974942463,0.8609271523178808,0.6754966887417219
C,NURSE,7A_1587298286,455,0.9979057525632339,1.0,1.0
C,NURSE,83_1604016419,1502,0.995143422183942,1.0,1.0
C,NURSE,94_1587209323,1212,0.9834926592196391,0.006622516556291391,0.026490066225165563
C,NURSE,BG_1603685056,63,0.9885493419920952,0.2980132450331126,0.12582781456953643
C,NURSE,CE_1587568353,1091,0.9986965330275381,0.23841059602649006,0.2847682119205298
C,NURSE,DF_1594305457,657,0.9990277847324335,1.0,1.0
C,NURSE,E4_1587241555,377,0.9917909137916635,0.44370860927152317,0.4768211920529801
C,NURSE,F5_1594218280,161,0.9524688414624966,0.8741721854304636,0.8675496688741722
C,NURSE,15_1594220239,495,0.9660682106735125,0.052980132450331126,0.2251655629139073
C,NURSE,5C_1587336033,80,0.9923606566827656,0.3509933774834437,0.2185430463576159
C,NURSE,6D_1594910470,682,0.9972128154193147,1.0,1.0
C,NURSE,7A_1587326219,91,0.9675121719139977,0.7880794701986755,0.4768211920529801
C,NURSE,83_1604103283,1454,0.9955063229710703,0.695364238410596,0.5761589403973509
C,NURSE,94_1587293342,406,0.9934401073451204,0.5894039735099338,0.5099337748344371
C,NURSE,CE_1587640779,205,0.9945461410181787,1.0,1.0
C,NURSE,DF_1594385893,315,0.9984774568619804,0.5364238410596026,0.5033112582781457
C,NURSE,EG_1603574790,392,0.9775934066138852,0.11920529801324503,0.4966887417218543
C,NURSE,F5_1594223270,382,0.9978740364743668,0.033112582781456956,0.006622516556291391
A,WESAD,S2,202,0.18835452817302478,0.7947019867549668,0.3509933774834437
A,WESAD,S3,216,0.47664299810726907,0.32450331125827814,0.1456953642384106
A,WESAD,S4,214,0.3047808458138386,1.0,1.0
A,WESAD,S5,208,0.11955453553189245,0.7284768211920529,0.2251655629139073
A,WESAD,S6,235,0.3321103826664114,0.33112582781456956,0.2119205298013245
