rep,param,true,est
21,lam,0.2403979756297201,0.23857541600309026
21,sigma,0.26384592369194393,0.264063695848413
21,eps,0.03849844433767353,0.037550041527424076
22,beta0,0.33472424412056034,0.581182626322554
22,beta_S,0.32172529655236104,0.33324141852959244
22,beta_T,0.008164867424878264,-0.0003758882505627613
22,beta_U,0.25188256181502644,0.2897372649131037
22,alpha0,1.2947764453618287,1.0747404911349094
22,alpha_A,0.9327483012724559,0.9816919075323823
22,lam,0.21441163729327856,0.21026317187330937
22,sigma,0.25704730134930365,0.25535137884061104
22,eps,0.03752238713069239,0.03849125358563558
23,beta0,0.2918504163628478,0.2764947674831381
23,beta_S,0.34876723480505234,0.3557465949698976
23,beta_T,0.031345204986623854,0.01753227092291466
23,beta_U,0.29370205812316297,0.2825097697283976
23,alpha0,0.9565093622516108,0.9031396248729517
23,alpha_A,0.884187808494032,0.9188844602338699
23,lam,0.2630775154968211,0.25730956672487126
23,sigma,0.30717262147617613,0.3079872992990655
23,eps,0.04215202787712369,0.04191020534723004
24,beta0,0.029419587305985817,0.03245187630507726
24,beta_S,0.6918266483624258,0.6425018704896502
24,beta_T,0.17945175558039334,0.19101878726727792
24,beta_U,0.22229980193250928,0.26680201282501415
24,alpha0,1.7079413004791328,1.7896323119027515
24,alpha_A,0.1385319949127493,0.09730083727200238
24,lam,0.18217545293901288,0.18469365132990448
24,sigma,0.3540919265561388,0.35315275465469986
24,eps,0.07168182773878608,0.2994710288090299
25,beta0,-0.06900891737717246,-0.024565061341142783
25,beta_S,0.2682838488292486,0.2297393514954508
25,beta_T,0.2933233897768292,0.2937232072160419
25,beta_U,0.12673742537553362,0.1399808148728204
25,alpha0,1.1125669184649198,1.1201780054265906
25,alpha_A,0.6889747268837121,0.627769513809273
25,lam,0.17663503822317067,0.17674493923521786
25,sigma,0.4190602683110324,0.4166558179083526
25,eps,0.013618550845446397,0.010316946661348395
26,beta0,-0.23497483840757527,-0.25096029306398104
26,beta_S,0.8869851668227005,0.8952403636107118
26,beta_T,0.18384328772532105,0.20076477150739852
26,beta_U,0.01669259375828345,0.011154040000528331
26,alpha0,1.0907104137407875,1.0681049840113481
26,alpha_A,0.5099428529261533,0.4642957435071691
26,lam,0.260459764553882,0.2594862748563216
26,sigma,0.4168753058249296,0.42097716882013037
26,eps,0.05225908418369817,0.0715749841083714
27,beta0,-0.06965776170852944,-0.08966490471354699
27,beta_S,0.6220985334626996,0.6240151854439673
27,beta_T,0.19705916476819352,0.19624715209363053
27,beta_U,0.2588645936811654,0.2661841444469368
27,alpha0,0.3338954485849509,0.37081345185835685
27,alpha_A,0.4490995550252208,0.44766327467381595
27,lam,0.2093977699718601,0.2113232073420374
27,sigma,0.2555405711342229,0.2542831804825085
27,eps,0.04535787832186359,0.07396958687244998
28,beta0,-0.2581982543919673,-0.28700792355772053
28,beta_S,0.20623857430245776,0.21327514681059345
28,beta_T,0.35147599471902136,0.35009059915689944
28,beta_U,0.37279679113157893,0.38564767880847095
28,alpha0,1.2203855894517899,1.1837004371872455
28,alpha_A,0.6813835956393487,0.7268198328587536
