dataset,subject,state,n_episodes,mean_dwell,cv_observed,cv_geometric,overdispersion,ks_stat,ks_p
EXAM,S8,overloaded,58,2.8793103448275863,2.021088929008893,0.8078951731372351,1.2131937558716581,0.34730538922155685,9.350590639881359e-07
EXAM,S9,overloaded,36,5.888888888888889,1.8427887606880866,0.9111469032188405,0.9316418574692461,0.4690775681341719,8.732578854556948e-08
EXAM,S9,overloaded,64,3.265625,1.2323244937447646,0.8329345138161943,0.3993899799285703,0.30622009569377995,7.978144065259395e-06
NURSE,15_1594140175,overloaded,52,2.4038461538461537,0.8983896704659955,0.764198926981712,0.1341907434842835,0.41600000000000004,1.1553576283289523e-08
NURSE,15_1594213322,overloaded,45,1.9333333333333333,0.7664176127894091,0.6948083337796511,0.071609279009758,0.5172413793103449,1.0257833369451501e-11
NURSE,15_1594220239,overloaded,106,2.311320754716981,0.8599080760224682,0.7532243615122325,0.10668371451023573,0.43265306122448977,1.4957256440063253e-18
NURSE,15_1594298975,overloaded,88,2.352272727272727,0.8107742579969544,0.758207904900193,0.05256635309676139,0.42512077294686,6.02144165088934e-15
NURSE,15_1594311202,overloaded,101,2.277227722772277,0.9575488556538949,0.748912254685014,0.20863660096888093,0.4391304347826087,3.017893883452932e-18
NURSE,15_1595347920,overloaded,17,2.0,0.6642111641550714,0.7071067811865476,-0.04289561703147615,0.5,0.0001870686754043241
NURSE,15_1595425036,overloaded,36,2.4722222222222223,0.7596536064667581,0.7716901048850685,-0.012036498418310448,0.4044943820224719,7.807616818072625e-06
NURSE,15_1595446619,overloaded,46,2.5434782608695654,0.8703272379164314,0.7789978221006827,0.09132941581574872,0.3931623931623931,6.407726589511261e-07
NURSE,15_1595857850,overloaded,14,2.2857142857142856,0.9560661587986472,0.75,0.2060661587986472,0.4375,0.005899259096586396
NURSE,15_1595871983,overloaded,88,2.6931818181818183,1.008138648544908,0.7929009920049054,0.2152376565400026,0.37130801687763704,2.1404745619313725e-11
NURSE,15_1595947283,overloaded,24,2.1666666666666665,0.7844645405527362,0.7337993857053428,0.05066515484739342,0.46153846153846156,3.363415267465172e-05
NURSE,15_1595953571,overloaded,107,2.3738317757009346,0.8053274471322793,0.7607497338023294,0.044577713329949975,0.42125984251968496,9.922568339407791e-18
